"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"descricao_investimento_id";"linha_ordem";"tipo_registro";"descricao";"valor_original";"valor_numerico";"unidade";"observacao";"lado_layout";"row_excel";"linha_original"
"7";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IRMAOS ZAT";"1";"IRMÃOS ZAT LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"21";"5";"descricao_investimento";"INAUGURAÇÃO (Previsto 3 lojas 2026)";"R$ 10.000,00 (por loja)";"NULL";"BRL";"NULL";"NULL";"40";"INAUGURAÇÃO (Previsto 3 lojas 2026) | R$ 10.000,00 (por loja)"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"22";"2";"descricao_investimento";"PERCENTUAL DE INVESTIMENTO MENSAL TOTAL:";"3%";"3.0000";"%";"NULL";"NULL";"38";"PERCENTUAL DE INVESTIMENTO MENSAL TOTAL: | 3%"
"9";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TISCHLER";"1";"TISCHLER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"23";"2";"descricao_investimento";"INVESTIMENTO MENSAL TOTAL:";"9600";"9600.0000";"NULL";"NULL";"NULL";"44";"INVESTIMENTO MENSAL TOTAL: | 9600"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"24";"2";"descricao_investimento";"PERCENTUAL DE INVESTIMENTO:";"3%";"3.0000";"%";"NULL";"NULL";"47";"PERCENTUAL DE INVESTIMENTO: | 3%"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"25";"3";"descricao_investimento";"FORMA DE PAGAMENTO";"DEPÓSITO EM CONTA (INFORMAR CONTA)";"NULL";"NULL";"NULL";"NULL";"50";"FORMA DE PAGAMENTO: DEPÓSITO EM CONTA (INFORMAR CONTA)"
"11";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MUNDIALMIX";"1";"MUNDIALMIX - BRASIL/IMPERATRIZ";"JBP";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"26";"2";"descricao_investimento";"INVESTIMENTO DESCONTO EM PREÇOS";"MÉDIA MENSAL R$ 40.000,00";"NULL";"BRL";"NULL";"NULL";"35";"INVESTIMENTO DESCONTO EM PREÇOS | MÉDIA MENSAL R$ 40.000,00"
"11";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MUNDIALMIX";"1";"MUNDIALMIX - BRASIL/IMPERATRIZ";"JBP";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"27";"3";"descricao_investimento";"INVESTIMENTO PONTA DE GONDOLA (Brasil 05/ 09/25/26/1 lateral 34 ) (Imperatriz03/22/37) (Jan/26)";"R$ 15.000,00 | R$ 15.000,00 (TOTAL)";"NULL";"BRL";"NULL";"NULL";"38";"INVESTIMENTO PONTA DE GONDOLA (Brasil 05/ 09/25/26/1 lateral 34 ) (Imperatriz03/22/37) (Jan/26) | R$ 15.000,00 | R$ 15.000,00 (TOTAL)"
"11";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MUNDIALMIX";"1";"MUNDIALMIX - BRASIL/IMPERATRIZ";"JBP";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"28";"4";"descricao_investimento";"INVESTIMENTO BRASIL LÂMINA VIRTUAL MENSAL (FEV/26 A DEZ/26)";"R$ 10.000,00 CADA (POR MÊS) | R$ 110.000,00 (TOTAL ANO)";"NULL";"BRL";"NULL";"NULL";"41";"INVESTIMENTO BRASIL LÂMINA VIRTUAL MENSAL (FEV/26 A DEZ/26) | R$ 10.000,00 CADA (POR MÊS) | R$ 110.000,00 (TOTAL ANO)"
"11";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MUNDIALMIX";"1";"MUNDIALMIX - BRASIL/IMPERATRIZ";"JBP";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"29";"5";"descricao_investimento";"INVESTIMENTO BRASIL PONTA DE GÔNDOLA (Ingleses 09 | Palhoça 264) (FEV/26 A DEZ/26)";"R$ 6.000,00 (POR MÊS) | R$ 66.000,00 (TOTAL ANO)";"NULL";"BRL";"NULL";"NULL";"44";"INVESTIMENTO BRASIL PONTA DE GÔNDOLA (Ingleses 09 | Palhoça 264) (FEV/26 A DEZ/26) | R$ 6.000,00 (POR MÊS) | R$ 66.000,00 (TOTAL ANO)"
"11";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MUNDIALMIX";"1";"MUNDIALMIX - BRASIL/IMPERATRIZ";"JBP";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"30";"6";"descricao_investimento";"INVESTIMENTO IMPERATRIZ LÂMINA VIRTUAL MENSAL (FEV/26 A DEZ/26)";"R$ 6.000,00 (POR MÊS) | R$ 66.000,00 (TOTAL ANO)";"NULL";"BRL";"NULL";"NULL";"47";"INVESTIMENTO IMPERATRIZ LÂMINA VIRTUAL MENSAL (FEV/26 A DEZ/26) | R$ 6.000,00 (POR MÊS) | R$ 66.000,00 (TOTAL ANO)"
