"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"cadastro_vinculado_id";"bloco_origem";"linha_ordem";"secao_interna";"categoria_secao";"produto";"litragem";"versao";"abrangencia";"row_excel";"linha_original"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"23";"cadastros_vinculados";"2";"CADASTRO";"cadastro";"Multiuso";"1L";"Pulv. Original (EAN 789830200 656 0)";"NULL";"63";"Multiuso | 1L | Pulv. Original (EAN 789830200 656 0)"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"24";"cadastros_vinculados";"3";"CADASTRO";"cadastro";"Multiuso - Poder O2";"500ml/1L";"500ml (EAN 789830200 658-4) | 1L (EAN 789830200 657 7)";"NULL";"64";"Multiuso - Poder O2 | 500ml/1L | 500ml (EAN 789830200 658-4) | 1L (EAN 789830200 657 7)"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"25";"cadastros_vinculados";"4";"CADASTRO";"cadastro";"Lava Roupas";"7L";"Profissional (EAN 789830200 659 1)";"NULL";"65";"Lava Roupas | 7L | Profissional (EAN 789830200 659 1)"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"26";"cadastros_vinculados";"1";"LIBERAÇÃO (PARA TODAS AS LOJAS)";"liberacao";"Amac. Concentrado";"1L";"Ternura | Harmonia - 7 de 12 Lojas";"NULL";"69";"Amac. Concentrado | 1L | Ternura | Harmonia - 7 de 12 Lojas"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"27";"cadastros_vinculados";"2";"LIBERAÇÃO (PARA TODAS AS LOJAS)";"liberacao";"Amac. Concentrado";"1,5L";"Promocional - Ternura | Harmonia - 4 de 7 Lojas";"NULL";"70";"Amac. Concentrado | 1,5L | Promocional - Ternura | Harmonia - 4 de 7 Lojas"
"9";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TISCHLER";"1";"TISCHLER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"28";"cadastros_vinculados";"1";"CADASTRO";"cadastro";"Lava Roupas Pó";"2.4";"Multiação | Flores Brancas e Baunilha";"NULL";"85";"Lava Roupas Pó | 2.4 | Multiação | Flores Brancas e Baunilha"
"9";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TISCHLER";"1";"TISCHLER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"29";"cadastros_vinculados";"2";"CADASTRO";"cadastro";"Desinfetante";"2L e 5L";"Chá Branco";"NULL";"86";"Desinfetante | 2L e 5L | Chá Branco"
"9";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TISCHLER";"1";"TISCHLER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"30";"cadastros_vinculados";"3";"CADASTRO";"cadastro";"Amac. Concentrado";"1,5L";"Versões";"NULL";"88";"Amac. Concentrado | 1,5L | Versões"
"9";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TISCHLER";"1";"TISCHLER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"31";"cadastros_vinculados";"4";"CADASTRO";"cadastro";"Lava Roupas Lavagem Rápida";"1L";"Total Clean (EAN 789830200 645 4) | Fresh Clean (EAN 789830200 646 1)";"NULL";"89";"Lava Roupas Lavagem Rápida | 1L | Total Clean (EAN 789830200 645 4) | Fresh Clean (EAN 789830200 646 1)"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"32";"cadastros_vinculados";"1";"CADASTRO";"cadastro";"Desinfetante";"5L";"Paixão";"NULL";"67";"Desinfetante | 5L | Paixão"
